payment_id,amount,payment_method,failure_reason,previous_successful_payments,previous_failed_payments,retry_count,customer_success_rate,hour_of_payment,customer_tenure_days,recovery_action,recovered,recovered_amount
PAY_00022,2163,UPI,Card Declined,5,4,1,0.5,19,959,UPI Link,1,2163
PAY_00023,1929,UPI,User Abandoned,6,1,2,0.75,3,1397,UPI Link,1,1929
PAY_00024,7537,Net Banking,User Abandoned,12,0,0,0.923,3,602,Reminder,1,7537
PAY_00025,2826,Wallet,Insufficient Funds,7,0,2,0.875,23,540,Retry,1,2826
PAY_00026,18869,Card,Network Error,7,3,0,0.636,20,612,UPI Link,0,0
PAY_00027,23866,Card,Bank Timeout,7,0,0,0.875,5,1105,Reminder,0,0
PAY_00028,604,UPI,Network Error,5,0,0,0.833,15,40,Retry,1,604
PAY_00029,7864,Net Banking,Technical Error,13,2,0,0.812,1,494,UPI Link,0,0
PAY_00030,4615,UPI,Insufficient Funds,7,4,2,0.583,15,142,Retry,0,0
PAY_00031,1415,Card,Bank Timeout,8,2,2,0.727,15,1126,Reminder,1,1415
PAY_00032,1173,Wallet,Bank Timeout,5,2,1,0.625,23,1413,Retry,1,1173
PAY_00033,9891,Net Banking,Card Declined,10,0,2,0.909,20,765,UPI Link,1,9891
PAY_00034,2277,Wallet,Insufficient Funds,5,2,0,0.625,7,132,Reminder,0,0
PAY_00035,4282,Card,Network Error,10,3,0,0.714,0,146,UPI Link,0,0
PAY_00036,3539,UPI,Bank Timeout,8,2,0,0.727,1,677,Retry,1,3539
PAY_00037,6824,Card,Technical Error,5,2,2,0.625,15,439,UPI Link,0,0
PAY_00038,13220,Wallet,Bank Timeout,12,4,1,0.706,13,390,Retry,1,13220
PAY_00039,3900,Wallet,Technical Error,10,3,1,0.714,13,957,UPI Link,1,3900
PAY_00040,5560,UPI,User Abandoned,5,2,2,0.625,20,202,Reminder,1,5560
PAY_00041,2746,Net Banking,Insufficient Funds,12,2,0,0.8,6,390,UPI Link,1,2746
PAY_00042,6676,Card,Card Declined,4,1,0,0.667,8,948,UPI Link,0,0
PAY_00043,22250,UPI,Card Declined,3,1,1,0.6,3,104,UPI Link,1,22250
PAY_00044,2625,UPI,Insufficient Funds,6,2,0,0.667,5,833,UPI Link,0,0
PAY_00045,7530,Card,Card Declined,9,3,0,0.692,5,777,UPI Link,1,7530
PAY_00046,2002,Wallet,Technical Error,6,1,1,0.75,9,867,Retry,1,2002
PAY_00047,15977,Wallet,Bank Timeout,8,2,0,0.727,9,446,Reminder,1,15977
PAY_00048,7738,UPI,User Abandoned,6,1,0,0.75,1,103,UPI Link,1,7738
PAY_00049,367,Card,Insufficient Funds,11,2,1,0.786,2,381,Reminder,1,367
PAY_00050,6481,UPI,User Abandoned,7,2,0,0.7,12,246,UPI Link,1,6481
PAY_00051,2036,Card,Network Error,12,0,1,0.923,1,1269,Retry,1,2036
PAY_00052,6937,Net Banking,Technical Error,6,3,0,0.6,21,1467,Retry,0,0
PAY_00053,10317,Net Banking,Card Declined,11,0,0,0.917,21,1322,UPI Link,0,0
PAY_00054,2424,Net Banking,Insufficient Funds,9,2,0,0.75,14,1273,Retry,0,0
PAY_00055,5386,UPI,Insufficient Funds,7,2,1,0.7,6,1037,Reminder,0,0
PAY_00056,4725,Net Banking,Insufficient Funds,10,3,0,0.714,11,584,Reminder,0,0
PAY_00057,3862,Net Banking,Network Error,11,2,2,0.786,16,17,UPI Link,0,0
PAY_00058,6725,Net Banking,User Abandoned,7,1,0,0.778,4,542,Reminder,1,6725
PAY_00059,2845,UPI,User Abandoned,6,3,1,0.6,4,558,Reminder,1,2845
PAY_00060,6160,Card,User Abandoned,5,1,0,0.714,6,1408,UPI Link,0,0
PAY_00061,35473,Net Banking,Network Error,6,2,1,0.667,8,105,Retry,0,0
PAY_00062,3691,Wallet,Technical Error,9,2,0,0.75,0,684,UPI Link,1,3691
PAY_00063,5417,Net Banking,Bank Timeout,5,0,2,0.833,14,1130,UPI Link,0,0
PAY_00064,1746,UPI,Insufficient Funds,8,2,0,0.727,22,306,UPI Link,0,0
PAY_00065,4693,Net Banking,Network Error,10,1,1,0.833,4,881,Retry,0,0
PAY_00066,1135,Net Banking,Technical Error,7,2,0,0.7,11,431,Retry,1,1135
PAY_00067,4081,UPI,Technical Error,6,2,1,0.667,13,1272,UPI Link,0,0
PAY_00068,2965,Card,Bank Timeout,3,5,0,0.333,13,51,Retry,0,0
PAY_00069,667,Net Banking,Card Declined,4,2,2,0.571,23,509,UPI Link,1,667
PAY_00070,1106,UPI,Card Declined,9,2,0,0.75,15,456,UPI Link,1,1106
PAY_00071,765,Wallet,Technical Error,7,3,0,0.636,7,457,Retry,1,765
PAY_00072,8509,Card,Card Declined,6,5,0,0.5,8,143,Retry,0,0
PAY_00073,3285,Net Banking,Technical Error,9,5,2,0.6,16,819,UPI Link,0,0
PAY_00074,784,Net Banking,Insufficient Funds,6,0,0,0.857,8,366,UPI Link,0,0
PAY_00075,10836,Net Banking,Insufficient Funds,8,0,0,0.889,19,890,Reminder,0,0
PAY_00076,1564,Net Banking,Card Declined,10,4,1,0.667,16,237,UPI Link,0,0
PAY_00077,2397,Card,Technical Error,4,0,0,0.8,22,894,Retry,0,0
PAY_00078,2715,Card,Technical Error,10,1,1,0.833,2,1361,Reminder,0,0
PAY_00079,10005,Net Banking,User Abandoned,6,0,0,0.857,23,616,Reminder,0,0
PAY_00080,15055,Wallet,Technical Error,10,3,1,0.714,22,606,Retry,0,0
PAY_00081,2016,Card,Card Declined,11,0,2,0.917,12,1388,Reminder,1,2016
PAY_00082,2469,Card,Network Error,10,8,1,0.526,9,832,Retry,1,2469
PAY_00083,1951,UPI,Technical Error,7,3,0,0.636,6,881,UPI Link,1,1951
PAY_00084,5393,Net Banking,Card Declined,12,1,1,0.857,14,1384,UPI Link,0,0
PAY_00085,2341,Wallet,User Abandoned,6,4,0,0.545,21,174,Reminder,0,0
PAY_00086,4168,Net Banking,Insufficient Funds,2,3,0,0.333,21,636,Reminder,1,4168
PAY_00087,1157,Card,Bank Timeout,8,3,0,0.667,1,502,Reminder,1,1157
PAY_00088,2982,UPI,Card Declined,6,3,1,0.6,20,1179,UPI Link,0,0
PAY_00089,4461,Wallet,Card Declined,10,0,1,0.909,7,303,UPI Link,1,4461
PAY_00090,2845,UPI,Insufficient Funds,6,2,1,0.667,7,361,UPI Link,1,2845
PAY_00091,2995,Wallet,Insufficient Funds,8,2,1,0.727,7,249,UPI Link,0,0
PAY_00092,1884,Wallet,User Abandoned,6,1,1,0.75,17,1220,Reminder,1,1884
PAY_00093,1420,Wallet,Network Error,8,1,2,0.8,16,874,UPI Link,0,0
PAY_00094,2717,Wallet,Bank Timeout,14,0,2,0.933,15,922,Reminder,1,2717
PAY_00095,1383,Card,User Abandoned,11,0,0,0.917,16,993,UPI Link,1,1383
PAY_00096,2173,Net Banking,Card Declined,10,3,0,0.714,22,586,UPI Link,0,0
PAY_00097,805,Net Banking,Technical Error,10,3,1,0.714,2,284,Retry,1,805
PAY_00098,2090,Wallet,User Abandoned,10,1,0,0.833,22,439,Reminder,0,0
PAY_00099,862,Wallet,Technical Error,6,2,1,0.667,14,852,Retry,1,862
PAY_00100,2739,Wallet,Card Declined,9,1,1,0.818,22,41,Reminder,1,2739
PAY_00101,3110,Wallet,Card Declined,7,4,0,0.583,11,612,Reminder,0,0
PAY_00102,1378,Wallet,Network Error,5,2,2,0.625,23,1119,UPI Link,0,0
PAY_00103,9193,Card,Card Declined,9,3,0,0.692,8,893,UPI Link,1,9193
PAY_00104,3019,Wallet,Technical Error,8,4,2,0.615,21,829,UPI Link,0,0
PAY_00105,8979,Wallet,Bank Timeout,6,1,1,0.75,17,56,Reminder,1,8979
PAY_00106,5845,UPI,Insufficient Funds,6,3,2,0.6,13,278,Retry,0,0
PAY_00107,3691,Card,Insufficient Funds,6,5,0,0.5,12,671,Reminder,1,3691
PAY_00108,9643,Net Banking,Technical Error,5,2,1,0.625,8,864,Retry,1,9643
PAY_00109,1598,UPI,Card Declined,8,1,0,0.8,23,1105,UPI Link,1,1598
PAY_00110,1443,Net Banking,Bank Timeout,9,5,2,0.6,2,1335,Reminder,1,1443
PAY_00111,990,UPI,Bank Timeout,9,3,0,0.692,0,1273,Retry,0,0
PAY_00112,16901,Card,Card Declined,4,2,2,0.571,3,1156,Retry,0,0
PAY_00113,3232,Wallet,User Abandoned,9,2,0,0.75,11,344,UPI Link,1,3232
PAY_00114,35676,UPI,Bank Timeout,6,1,0,0.75,3,1186,Retry,0,0
PAY_00115,4319,Net Banking,Network Error,11,2,2,0.786,12,813,Retry,0,0
PAY_00116,862,Card,Insufficient Funds,9,1,1,0.818,22,1285,Reminder,0,0
PAY_00117,3737,Net Banking,User Abandoned,9,1,1,0.818,3,1160,UPI Link,1,3737
PAY_00118,7062,Net Banking,Network Error,11,2,1,0.786,21,759,Retry,0,0
PAY_00119,8003,Net Banking,Insufficient Funds,8,3,1,0.667,15,217,Reminder,0,0
PAY_00120,2695,Net Banking,User Abandoned,9,0,1,0.9,22,314,Reminder,1,2695
PAY_00121,3683,Net Banking,Network Error,8,1,1,0.8,15,953,Retry,1,3683
PAY_00122,5637,Net Banking,Technical Error,7,1,0,0.778,2,572,UPI Link,1,5637
PAY_00123,4594,Card,Card Declined,9,2,1,0.75,19,1369,UPI Link,1,4594
PAY_00124,1988,UPI,Card Declined,7,2,0,0.7,5,999,UPI Link,1,1988
PAY_00125,1430,Net Banking,Technical Error,8,2,0,0.727,19,1437,UPI Link,0,0
PAY_00126,3403,UPI,Network Error,10,5,0,0.625,2,495,UPI Link,0,0
PAY_00127,5294,Wallet,Network Error,5,0,0,0.833,22,976,Retry,1,5294
PAY_00128,1901,Wallet,Card Declined,9,2,0,0.75,2,603,UPI Link,1,1901
PAY_00129,8578,Card,Technical Error,8,4,2,0.615,18,756,UPI Link,0,0
PAY_00130,1771,Net Banking,Card Declined,9,3,2,0.692,17,678,UPI Link,1,1771
PAY_00131,4615,Wallet,Technical Error,16,1,0,0.889,8,473,Retry,1,4615
PAY_00132,7293,Card,Technical Error,14,1,0,0.875,23,1098,Reminder,1,7293
PAY_00133,2899,Card,Bank Timeout,9,1,0,0.818,23,992,Retry,1,2899
PAY_00134,1627,Net Banking,Insufficient Funds,9,4,0,0.643,9,466,Reminder,0,0
PAY_00135,10000,Net Banking,Insufficient Funds,7,3,2,0.636,17,260,Reminder,0,0
PAY_00136,2089,UPI,Network Error,6,2,0,0.667,22,259,Retry,1,2089
PAY_00137,1638,Wallet,Insufficient Funds,12,2,0,0.8,18,583,UPI Link,1,1638
PAY_00138,3098,Wallet,Technical Error,2,2,0,0.4,1,518,Reminder,1,3098
PAY_00139,8867,Wallet,Insufficient Funds,6,3,0,0.6,12,1008,Reminder,0,0
PAY_00140,2936,UPI,Bank Timeout,7,1,0,0.778,18,623,Retry,1,2936
PAY_00141,2854,Card,Insufficient Funds,6,0,1,0.857,13,1242,UPI Link,0,0
PAY_00142,4871,Card,Network Error,5,4,1,0.5,14,907,Retry,1,4871
PAY_00143,7759,Wallet,Technical Error,9,1,1,0.818,19,124,Retry,1,7759
PAY_00144,1530,UPI,Bank Timeout,9,2,2,0.75,6,542,UPI Link,0,0
PAY_00145,5184,Card,Bank Timeout,8,2,0,0.727,17,154,Retry,1,5184
PAY_00146,7895,Wallet,Card Declined,11,0,2,0.917,19,963,UPI Link,1,7895
PAY_00147,3772,Card,Technical Error,9,4,2,0.643,9,1440,Retry,0,0
PAY_00148,7736,UPI,User Abandoned,10,2,0,0.769,8,1281,UPI Link,1,7736
PAY_00149,22399,Card,Card Declined,11,1,0,0.846,17,461,UPI Link,1,22399
PAY_00150,1339,Net Banking,Bank Timeout,10,3,0,0.714,1,340,UPI Link,0,0
PAY_00151,2234,Net Banking,Card Declined,6,4,0,0.545,14,1411,UPI Link,0,0
PAY_00152,8552,Wallet,Technical Error,8,3,1,0.667,17,1012,Retry,1,8552
PAY_00153,3921,UPI,Card Declined,7,3,2,0.636,10,1237,UPI Link,0,0
PAY_00154,20041,UPI,Bank Timeout,8,1,2,0.8,18,1203,Retry,0,0
PAY_00155,2866,Net Banking,Network Error,10,1,0,0.833,5,964,Retry,1,2866
PAY_00156,5115,Wallet,Technical Error,3,2,0,0.5,18,893,Retry,1,5115
PAY_00157,9005,Wallet,Insufficient Funds,7,2,1,0.7,11,837,Reminder,0,0
PAY_00158,1608,UPI,Bank Timeout,7,5,0,0.538,13,1421,Retry,1,1608
PAY_00159,1942,Wallet,Network Error,11,4,0,0.688,14,181,Retry,1,1942
PAY_00160,673,Net Banking,Insufficient Funds,5,1,1,0.714,16,3,UPI Link,0,0
PAY_00161,2870,Wallet,Card Declined,5,0,0,0.833,6,1062,UPI Link,1,2870
PAY_00162,544,Wallet,User Abandoned,5,2,1,0.625,1,417,Reminder,1,544
PAY_00163,1576,Card,Technical Error,9,4,1,0.643,22,993,Retry,0,0
PAY_00164,4457,Card,User Abandoned,4,1,0,0.667,9,1129,Reminder,1,4457
PAY_00165,1850,Wallet,Insufficient Funds,6,0,0,0.857,3,946,Retry,1,1850
PAY_00166,4764,Card,Card Declined,8,2,2,0.727,9,1043,Reminder,0,0
PAY_00167,3688,Wallet,Card Declined,3,2,1,0.5,7,936,UPI Link,1,3688
PAY_00168,1790,Wallet,Bank Timeout,13,3,1,0.765,16,280,UPI Link,0,0
PAY_00169,11321,Net Banking,Card Declined,8,0,0,0.889,16,548,Reminder,0,0
PAY_00170,783,Net Banking,User Abandoned,7,2,0,0.7,18,1188,Retry,0,0
PAY_00171,3358,Wallet,Bank Timeout,4,0,1,0.8,17,992,Retry,1,3358
PAY_00172,1247,Wallet,Card Declined,6,4,0,0.545,6,1429,UPI Link,0,0
PAY_00173,875,Wallet,Bank Timeout,9,1,1,0.818,1,652,UPI Link,1,875
PAY_00174,918,Wallet,Card Declined,9,5,2,0.6,20,312,UPI Link,1,918
PAY_00175,3406,UPI,Bank Timeout,11,2,1,0.786,18,680,UPI Link,0,0
PAY_00176,2099,Wallet,Insufficient Funds,11,5,1,0.647,14,32,UPI Link,0,0
PAY_00177,2930,Wallet,User Abandoned,10,4,0,0.667,2,962,UPI Link,1,2930
PAY_00178,3054,Net Banking,Technical Error,5,4,1,0.5,22,815,Retry,0,0
PAY_00179,5563,Net Banking,User Abandoned,9,2,1,0.75,12,649,UPI Link,1,5563
PAY_00180,6664,Wallet,Network Error,7,3,0,0.636,19,141,Retry,1,6664
PAY_00181,823,Net Banking,Bank Timeout,11,2,2,0.786,2,889,Retry,0,0
PAY_00182,1761,UPI,Card Declined,10,1,0,0.833,22,614,Retry,0,0
PAY_00183,3420,UPI,Technical Error,5,0,0,0.833,9,735,Retry,1,3420
PAY_00184,712,Card,Bank Timeout,5,2,1,0.625,13,1160,Retry,1,712
PAY_00185,1042,Card,Bank Timeout,11,2,0,0.786,2,1249,UPI Link,1,1042
PAY_00186,1674,Card,Card Declined,10,3,1,0.714,4,476,UPI Link,1,1674
PAY_00187,2132,Net Banking,Card Declined,8,2,0,0.727,21,20,Reminder,0,0
PAY_00188,1166,Wallet,Technical Error,8,2,2,0.727,17,324,Reminder,1,1166
PAY_00189,3631,Net Banking,Network Error,5,0,0,0.833,20,869,Retry,1,3631
PAY_00190,1420,Wallet,Technical Error,5,3,0,0.556,12,990,Retry,0,0
PAY_00191,3901,Wallet,Network Error,5,1,0,0.714,18,606,Reminder,1,3901
PAY_00192,14091,Net Banking,Insufficient Funds,4,4,2,0.444,12,563,Reminder,0,0
PAY_00193,6397,UPI,Network Error,5,3,2,0.556,15,587,UPI Link,0,0
PAY_00194,6436,Card,Network Error,9,3,0,0.692,7,1304,Retry,0,0
PAY_00195,1088,Net Banking,User Abandoned,8,1,2,0.8,21,1395,UPI Link,0,0
PAY_00196,14484,UPI,User Abandoned,7,2,2,0.7,1,633,UPI Link,0,0
PAY_00197,2107,UPI,Network Error,8,4,0,0.615,23,270,Retry,0,0
PAY_00198,3247,Net Banking,Technical Error,7,7,2,0.467,13,360,Reminder,0,0
PAY_00199,1473,Net Banking,Network Error,6,0,1,0.857,8,337,Retry,1,1473
PAY_00200,7392,Wallet,Technical Error,8,0,2,0.889,10,236,UPI Link,0,0
PAY_00201,1709,UPI,Bank Timeout,11,2,0,0.786,21,1484,Retry,1,1709
PAY_00202,4748,Wallet,Network Error,7,0,0,0.875,2,809,Retry,1,4748
PAY_00203,4243,UPI,Card Declined,14,1,0,0.875,21,1377,UPI Link,1,4243
PAY_00204,2951,Wallet,User Abandoned,5,4,0,0.5,3,1383,Reminder,1,2951
PAY_00205,8900,UPI,Network Error,6,0,1,0.857,10,1250,Retry,1,8900
PAY_00206,6816,UPI,User Abandoned,0,2,1,0.0,22,619,UPI Link,0,0
PAY_00207,1811,UPI,Bank Timeout,2,3,0,0.333,1,624,Reminder,0,0
PAY_00208,1393,UPI,Insufficient Funds,12,2,0,0.8,17,278,Reminder,0,0
PAY_00209,1657,Net Banking,User Abandoned,9,2,2,0.75,22,1107,Reminder,0,0
PAY_00210,5601,Card,Card Declined,14,4,2,0.737,3,1003,UPI Link,1,5601
PAY_00211,5267,Net Banking,Insufficient Funds,4,3,2,0.5,11,445,Reminder,0,0
PAY_00212,2163,Card,Technical Error,10,0,0,0.909,21,753,Retry,1,2163
PAY_00213,2274,Net Banking,Insufficient Funds,9,1,1,0.818,8,389,Retry,1,2274
PAY_00214,1610,Wallet,Insufficient Funds,7,2,2,0.7,6,1315,UPI Link,0,0
PAY_00215,2372,UPI,Insufficient Funds,9,1,0,0.818,7,258,UPI Link,0,0
PAY_00216,3021,Card,Insufficient Funds,5,3,1,0.556,6,1201,Reminder,1,3021
PAY_00217,1660,Card,Technical Error,7,2,0,0.7,19,6,Retry,1,1660
PAY_00218,1927,Card,Bank Timeout,6,2,1,0.667,8,358,Retry,1,1927
PAY_00219,8746,UPI,Bank Timeout,10,0,0,0.909,11,488,Retry,1,8746
PAY_00220,4468,UPI,Bank Timeout,9,1,0,0.818,1,260,UPI Link,0,0
PAY_00221,3109,UPI,User Abandoned,5,2,0,0.625,15,919,UPI Link,1,3109
PAY_00222,7361,UPI,Card Declined,5,1,1,0.714,7,1260,UPI Link,1,7361
PAY_00223,16236,Net Banking,Card Declined,13,0,2,0.929,0,125,Retry,1,16236
PAY_00224,2669,Wallet,Card Declined,12,3,2,0.75,3,1005,Reminder,0,0
PAY_00225,2274,Wallet,Insufficient Funds,3,2,0,0.5,10,1246,Reminder,0,0
PAY_00226,709,Card,Technical Error,5,1,1,0.714,20,1199,Retry,0,0
PAY_00227,5849,Net Banking,Card Declined,6,3,1,0.6,16,604,UPI Link,0,0
PAY_00228,8365,Wallet,Insufficient Funds,10,6,2,0.588,3,1341,UPI Link,1,8365
PAY_00229,1438,Card,Card Declined,4,3,1,0.5,7,848,UPI Link,1,1438
PAY_00230,5663,Wallet,Card Declined,4,0,1,0.8,23,195,UPI Link,1,5663
PAY_00231,31087,Net Banking,User Abandoned,4,4,0,0.444,11,313,UPI Link,1,31087
PAY_00232,5167,Wallet,Insufficient Funds,10,1,0,0.833,2,191,Reminder,1,5167
PAY_00233,2286,Net Banking,Bank Timeout,6,3,1,0.6,1,1202,Reminder,1,2286
PAY_00234,1101,Net Banking,User Abandoned,8,1,0,0.8,13,725,UPI Link,0,0
PAY_00235,3227,Wallet,User Abandoned,5,4,0,0.5,9,1230,Reminder,0,0
PAY_00236,8791,UPI,Network Error,8,1,1,0.8,6,317,Retry,1,8791
PAY_00237,17086,Card,Insufficient Funds,5,0,0,0.833,17,753,Reminder,0,0
PAY_00238,2713,Net Banking,Network Error,10,2,0,0.769,13,1149,Reminder,1,2713
PAY_00239,4570,UPI,Network Error,11,1,2,0.846,22,548,Reminder,1,4570
PAY_00240,5310,Net Banking,User Abandoned,9,2,0,0.75,10,719,Reminder,0,0
PAY_00241,973,Card,Network Error,10,0,2,0.909,12,143,Reminder,0,0
PAY_00242,9462,UPI,Insufficient Funds,4,2,2,0.571,16,441,Reminder,1,9462
PAY_00243,1151,Wallet,Technical Error,10,6,0,0.588,11,639,UPI Link,1,1151
PAY_00244,9983,UPI,Insufficient Funds,5,2,0,0.625,5,1266,Reminder,1,9983
PAY_00245,6126,UPI,Technical Error,13,2,1,0.812,21,869,Retry,0,0
PAY_00246,11574,Wallet,Card Declined,10,4,0,0.667,6,1050,UPI Link,1,11574
PAY_00247,9529,Wallet,Insufficient Funds,10,0,0,0.909,21,1390,UPI Link,0,0
PAY_00248,9231,Net Banking,Insufficient Funds,13,1,0,0.867,12,1228,Reminder,1,9231
PAY_00249,1692,Card,Technical Error,12,5,0,0.667,4,524,Retry,1,1692
PAY_00250,3060,UPI,Insufficient Funds,7,1,1,0.778,23,882,Reminder,1,3060
PAY_00251,2249,Wallet,Network Error,9,1,2,0.818,7,1025,UPI Link,1,2249
PAY_00252,2708,Net Banking,Insufficient Funds,6,1,1,0.75,23,87,Reminder,1,2708
PAY_00253,622,Wallet,Insufficient Funds,8,0,0,0.889,18,880,UPI Link,1,622
PAY_00254,3057,Wallet,Technical Error,10,5,0,0.625,12,43,Reminder,0,0
PAY_00255,3338,Card,Network Error,9,2,1,0.75,22,742,Retry,1,3338
PAY_00256,16223,UPI,Bank Timeout,8,1,1,0.8,18,821,Retry,1,16223
PAY_00257,2136,Wallet,Technical Error,9,2,2,0.75,10,454,Reminder,1,2136
PAY_00258,7409,Card,Insufficient Funds,4,4,1,0.444,20,234,UPI Link,0,0
PAY_00259,1839,Card,Technical Error,5,4,0,0.5,23,1322,UPI Link,0,0
PAY_00260,2765,Card,Insufficient Funds,8,2,0,0.727,8,405,Reminder,0,0
PAY_00261,5530,Card,User Abandoned,5,0,0,0.833,5,1287,Reminder,1,5530
PAY_00262,100000,Wallet,User Abandoned,5,1,1,0.714,20,1302,Retry,0,0
PAY_00263,12666,Net Banking,User Abandoned,7,0,0,0.875,4,901,Reminder,0,0
PAY_00264,2012,Wallet,User Abandoned,8,2,0,0.727,8,1212,Reminder,0,0
PAY_00265,1572,UPI,Technical Error,7,1,1,0.778,14,78,Retry,1,1572
PAY_00266,8269,Net Banking,Insufficient Funds,7,0,2,0.875,2,1260,UPI Link,1,8269
PAY_00267,1305,Wallet,Card Declined,12,0,1,0.923,17,85,UPI Link,1,1305
PAY_00268,4578,Card,Technical Error,10,2,1,0.769,15,1027,Retry,1,4578
PAY_00269,4302,UPI,Card Declined,6,3,0,0.6,10,1463,UPI Link,1,4302
PAY_00270,16348,Card,Insufficient Funds,8,1,0,0.8,22,897,Retry,0,0
PAY_00271,1387,Card,Technical Error,5,2,0,0.625,9,794,Retry,1,1387
PAY_00272,3207,Net Banking,User Abandoned,9,0,1,0.9,1,1293,UPI Link,1,3207
PAY_00273,890,UPI,Technical Error,11,0,0,0.917,17,1390,Retry,1,890
PAY_00274,2835,Net Banking,User Abandoned,10,3,2,0.714,19,308,Reminder,0,0
PAY_00275,1246,Card,Technical Error,9,0,0,0.9,20,1431,Retry,1,1246
PAY_00276,2642,Card,Network Error,8,3,2,0.667,2,635,UPI Link,0,0
PAY_00277,2492,Net Banking,Bank Timeout,6,3,2,0.6,22,1404,Retry,0,0
PAY_00278,2555,UPI,User Abandoned,15,2,2,0.833,13,1042,Reminder,0,0
PAY_00279,29018,Net Banking,Technical Error,5,4,0,0.5,6,700,Reminder,0,0
PAY_00280,318,Wallet,Bank Timeout,10,2,0,0.769,4,318,Retry,1,318
PAY_00281,5250,UPI,Network Error,6,1,1,0.75,23,1079,Retry,1,5250
PAY_00282,650,Net Banking,Network Error,5,1,0,0.714,19,772,Retry,1,650
PAY_00283,2050,Card,User Abandoned,3,1,1,0.6,5,1477,Reminder,0,0
PAY_00284,3180,Wallet,Technical Error,7,2,2,0.7,23,487,Retry,0,0
PAY_00285,3201,Net Banking,User Abandoned,9,0,1,0.9,7,1094,Reminder,1,3201
PAY_00286,2034,Wallet,Bank Timeout,7,3,0,0.636,21,1169,Reminder,1,2034
PAY_00287,1693,Wallet,Technical Error,4,1,1,0.667,16,1081,Retry,1,1693
PAY_00288,1042,Card,Bank Timeout,11,1,1,0.846,4,513,Retry,1,1042
PAY_00289,1192,Wallet,Technical Error,11,2,1,0.786,3,1457,UPI Link,0,0
PAY_00290,7823,UPI,Technical Error,9,3,0,0.692,5,559,Retry,0,0
PAY_00291,5932,Card,Card Declined,10,1,0,0.833,7,924,Reminder,0,0
PAY_00292,2450,UPI,Card Declined,6,0,0,0.857,12,1029,UPI Link,1,2450
PAY_00293,1633,Wallet,Insufficient Funds,5,1,0,0.714,7,58,Reminder,0,0
PAY_00294,10777,UPI,User Abandoned,8,2,2,0.727,10,300,Reminder,1,10777
PAY_00295,779,Net Banking,Card Declined,13,1,2,0.867,4,1445,UPI Link,1,779
PAY_00296,9075,UPI,Insufficient Funds,7,0,0,0.875,8,442,UPI Link,1,9075
PAY_00297,1765,Wallet,Insufficient Funds,4,2,0,0.571,7,617,Reminder,1,1765
PAY_00298,4532,Card,Card Declined,10,0,2,0.909,19,937,UPI Link,1,4532
PAY_00299,3402,Wallet,Network Error,11,1,1,0.846,0,1295,Retry,1,3402
PAY_00300,4481,Card,User Abandoned,9,3,0,0.692,9,880,Reminder,1,4481
PAY_00301,34882,Net Banking,Bank Timeout,3,2,1,0.5,13,384,Retry,1,34882
PAY_00302,1963,UPI,Network Error,9,3,0,0.692,2,1078,Retry,1,1963
PAY_00303,5502,UPI,Card Declined,4,3,1,0.5,1,1302,UPI Link,1,5502
PAY_00304,17627,Net Banking,Technical Error,9,2,2,0.75,0,732,UPI Link,0,0
PAY_00305,1239,Net Banking,Bank Timeout,7,4,2,0.583,21,1287,Reminder,0,0
